epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.135,2.17132,4.34273,1.27986,0.02198,0.09929,0.03458,0.01899,2.17735,3.84687,1.09279,0.000193118,0.000193118,0.000193118
2,707.647,2.30246,3.29897,1.15222,0.8379,0.06209,0.05297,0.02758,2.3308,2.96212,1.10362,0.000385265,0.000385265,0.000385265
3,1057.77,2.29361,2.83263,1.11878,0.85449,0.07993,0.06475,0.03278,2.23197,2.54905,1.09667,0.000573532,0.000573532,0.000573532
4,1390.63,2.22697,2.53909,1.08352,0.59406,0.1003,0.08211,0.04323,2.1495,2.2939,1.05409,0.000570536,0.000570536,0.000570536
5,1744.74,2.20324,2.3143,1.07494,0.67929,0.10306,0.0986,0.0524,2.0418,2.0811,1.04763,0.000564715,0.000564715,0.000564715
6,2099.15,2.20145,2.2159,1.06137,0.70052,0.10499,0.1027,0.05537,2.05569,2.09448,1.03247,0.000558894,0.000558894,0.000558894
7,2419.01,2.09978,2.07003,1.04959,0.57826,0.1395,0.11979,0.0668,2.02049,1.89714,1.02398,0.000553073,0.000553073,0.000553073
8,2737.85,2.09649,1.97469,1.03594,0.61142,0.13569,0.12782,0.07224,2.07139,1.90248,1.01548,0.000547252,0.000547252,0.000547252
9,3053.96,2.09459,1.90647,1.03659,0.52043,0.18694,0.15457,0.09173,1.95734,1.75425,1.00787,0.00054143,0.00054143,0.00054143
10,3375.7,2.03224,1.84061,1.02479,0.50103,0.19756,0.17017,0.10258,1.9954,1.73081,0.99876,0.000535609,0.000535609,0.000535609
11,3687.21,2.03415,1.80642,1.02075,0.54978,0.19492,0.17444,0.10261,1.97505,1.75975,0.99324,0.000529788,0.000529788,0.000529788
12,4006.66,2.01945,1.78002,1.02241,0.55022,0.20267,0.18466,0.1073,1.93222,1.70031,0.99226,0.000523967,0.000523967,0.000523967
13,4321.35,2.00434,1.74262,1.02281,0.58697,0.19251,0.20077,0.12224,1.91873,1.63859,0.99773,0.000518146,0.000518146,0.000518146
14,4630.84,1.95911,1.69365,1.01428,0.61883,0.17401,0.20236,0.11712,1.96561,1.64765,0.99225,0.000512324,0.000512324,0.000512324
15,4942.93,1.95217,1.66881,1.0099,0.63419,0.20441,0.22392,0.13617,1.90183,1.62743,0.9891,0.000506503,0.000506503,0.000506503
16,5260.01,1.97617,1.6679,1.01131,0.61628,0.21638,0.23025,0.13858,1.85126,1.55755,0.98532,0.000500682,0.000500682,0.000500682
17,5579.48,1.92518,1.62685,0.99798,0.58553,0.20823,0.21902,0.13363,1.86975,1.51895,0.97901,0.000494861,0.000494861,0.000494861
18,5890.25,1.90337,1.58417,0.98964,0.53843,0.2011,0.2333,0.13229,2.00219,1.57086,0.99977,0.00048904,0.00048904,0.00048904
19,6206.88,1.93655,1.57789,0.99772,0.57159,0.23469,0.23964,0.1482,1.84882,1.49791,0.97421,0.000483218,0.000483218,0.000483218
20,6520.78,1.89917,1.5591,0.98747,0.58757,0.24152,0.25639,0.15443,1.84041,1.50024,0.97022,0.000477397,0.000477397,0.000477397
21,6835.18,1.87071,1.53226,0.98615,0.56564,0.24525,0.26381,0.16553,1.81465,1.4826,0.9687,0.000471576,0.000471576,0.000471576
22,7148.16,1.909,1.51851,0.9864,0.5418,0.25005,0.27953,0.1742,1.8218,1.46282,0.96905,0.000465755,0.000465755,0.000465755
23,7458.34,1.86372,1.50793,0.9893,0.62838,0.25742,0.2904,0.17921,1.80176,1.44302,0.9636,0.000459934,0.000459934,0.000459934
24,7777.92,1.87976,1.51221,0.98546,0.43724,0.29119,0.28888,0.17883,1.78001,1.40406,0.96297,0.000454112,0.000454112,0.000454112
25,8094.67,1.86003,1.48039,0.97659,0.51008,0.27249,0.29372,0.18301,1.85027,1.45584,0.97052,0.000448291,0.000448291,0.000448291
26,8408.45,1.86928,1.46266,0.98108,0.55727,0.26086,0.2933,0.17224,1.86012,1.43065,0.96965,0.00044247,0.00044247,0.00044247
27,8720.71,1.82225,1.4459,0.97798,0.59397,0.24729,0.30232,0.18716,1.82187,1.40485,0.96301,0.000436649,0.000436649,0.000436649
28,9030.72,1.81833,1.43988,0.97632,0.5214,0.28046,0.30967,0.19537,1.7719,1.36397,0.95851,0.000430828,0.000430828,0.000430828
29,9348.86,1.82825,1.45819,0.96773,0.39027,0.32113,0.32196,0.19751,1.7946,1.40587,0.96307,0.000425006,0.000425006,0.000425006
30,9664.19,1.83517,1.4191,0.97379,0.36135,0.30948,0.31811,0.19789,1.77168,1.35318,0.95676,0.000419185,0.000419185,0.000419185
31,9979.42,1.79831,1.38872,0.9652,0.53891,0.30796,0.32988,0.2082,1.75467,1.33644,0.95385,0.000413364,0.000413364,0.000413364
32,10291.5,1.82315,1.4094,0.97121,0.37076,0.31042,0.32774,0.20512,1.74575,1.33002,0.95063,0.000407543,0.000407543,0.000407543
33,10600.5,1.77449,1.37764,0.96504,0.58046,0.27611,0.3212,0.19983,1.81692,1.35388,0.9601,0.000401722,0.000401722,0.000401722
34,10906.4,1.78953,1.39528,0.96721,0.39094,0.30709,0.33479,0.20741,1.73296,1.3962,0.9524,0.0003959,0.0003959,0.0003959
35,11221.2,1.83114,1.38985,0.96371,0.52548,0.31969,0.3543,0.21948,1.78408,1.31747,0.9563,0.000390079,0.000390079,0.000390079
36,11535.5,1.77594,1.33558,0.95845,0.56542,0.29785,0.34266,0.21561,1.74606,1.3005,0.9485,0.000384258,0.000384258,0.000384258
37,11851.7,1.76014,1.32947,0.95581,0.54281,0.31142,0.34543,0.21071,1.78308,1.31366,0.9573,0.000378437,0.000378437,0.000378437
38,12213,1.78651,1.34831,0.95931,0.58341,0.31574,0.35969,0.22308,1.72997,1.32608,0.94792,0.000372616,0.000372616,0.000372616
39,12542.8,1.76493,1.33979,0.95614,0.43868,0.33747,0.36223,0.22317,1.74507,1.30813,0.94703,0.000366794,0.000366794,0.000366794
40,12877.4,1.79761,1.34487,0.95981,0.63009,0.28939,0.3465,0.20565,1.79404,1.34186,0.95568,0.000360973,0.000360973,0.000360973
41,13207.6,1.76353,1.31408,0.9562,0.43725,0.32522,0.3657,0.22938,1.69499,1.304,0.9466,0.000355152,0.000355152,0.000355152
42,13535,1.74209,1.29757,0.95076,0.57419,0.33765,0.37757,0.24152,1.70498,1.27027,0.94213,0.000349331,0.000349331,0.000349331
43,13871.5,1.76107,1.32619,0.95436,0.59655,0.32667,0.36836,0.23096,1.73062,1.25824,0.93999,0.00034351,0.00034351,0.00034351
44,14205.8,1.74957,1.28952,0.95058,0.45233,0.3449,0.3769,0.23829,1.70904,1.26423,0.94056,0.000337688,0.000337688,0.000337688
45,14553.1,1.73791,1.28996,0.95113,0.53836,0.34219,0.38783,0.24431,1.70304,1.28741,0.94106,0.000331867,0.000331867,0.000331867
46,14874,1.73119,1.27655,0.94802,0.4633,0.37036,0.3853,0.23676,1.75103,1.27553,0.94748,0.000326046,0.000326046,0.000326046
47,15192.3,1.71408,1.25622,0.94819,0.58191,0.33212,0.37614,0.24074,1.72281,1.28378,0.93812,0.000320225,0.000320225,0.000320225
48,15507.2,1.68779,1.23915,0.94572,0.62029,0.34428,0.39708,0.24927,1.66811,1.21914,0.93498,0.000314404,0.000314404,0.000314404
49,15827.6,1.74594,1.25839,0.94911,0.45044,0.37533,0.39556,0.25218,1.68121,1.24391,0.93795,0.000308582,0.000308582,0.000308582
